,DK,NO,DE,BE,NL,GB
2015-11-03 15:00:00,17357.389228798806,25945.239819757866,267074.11413703044,23829.35307765674,36411.880444161194,129006.14865624925
2015-11-03 16:00:00,18973.434028981043,26136.48963859155,346917.73851982446,37926.27092010267,47720.13446371133,151925.74017987173
2015-11-03 17:00:00,18332.092402006267,26111.19438203829,348068.75454235554,40582.559011235695,46901.712888954105,162355.99732243764
2015-11-03 18:00:00,17642.945088561435,26036.56731521007,344278.2198153301,40961.41766502249,48424.91833934762,157444.85136883755
2015-11-03 19:00:00,17537.556111399368,25875.666447916352,341535.1716269199,39488.273263174524,47546.64533195266,153096.1107705094
2015-11-03 20:00:00,17038.46897342103,25692.733127440955,332674.3189142868,38776.98321715549,45143.579251834904,123676.12171978668
2015-11-03 21:00:00,16327.673149229515,25287.670242059514,321109.6644079478,37835.64099277298,42034.26508748709,114485.0632804779
2015-11-03 22:00:00,15528.787779058872,24532.539392312414,303715.7055396762,36966.434382831016,39439.561490729735,108698.38259381834
2015-11-03 23:00:00,14953.356380369161,23987.325830877893,294459.38798276364,36660.312043133024,38822.88316460522,108824.14167664263
2015-11-04 00:00:00,14577.49692659251,23112.762868181664,290293.86219663394,36711.62476216229,38983.54592545254,105601.59612690946
2015-11-04 01:00:00,14707.675510231646,23460.026011506347,289907.307780664,34893.34576588891,35702.90022435823,105141.91075485344
